Detail,Etape,Sprint,Bourse,Bib,Coureur,Equipe
Étape 1 - Val-d'Or,1,1,250,12,"PICARD, Paul",France
Étape 1 - Val-d'Or,1,2,250,65,"TRUFFER, Carl",Équipe Subway
Étape 2 - Rouyn-Noranda,2,1,250,22,"NEY, Matthew",Canada
Étape 2 - Rouyn-Noranda,2,2,250,34,"BUDD, Caden",USA
Étape 4 - Malartic,4,1,250,22,"NEY, Matthew",Canada
Étape 4 - Malartic,4,2,250,65,"TRUFFER, Carl",Équipe Subway
Étape 5 - Boucle Preissac,5,1,250,63,"LANOIX, Solstice",Équipe Subway
Étape 5 - Boucle Preissac,5,2,250,63,"LANOIX, Solstice",Équipe Subway
Étape 6 - Boucle Preissac,6,1,250,135,"DARR, Cullen",Vantaggio Fitness and Nutrition
Étape 6 - Boucle Preissac,6,2,250,63,"LANOIX, Solstice",Équipe Subway
Étape 7 - La Sarre,7,1,250,65,"TRUFFER, Carl",Équipe Subway
Étape 7 - La Sarre,7,2,250,65,"TRUFFER, Carl",Équipe Subway
Étape 7 - La Sarre,7,3,100,93,"SEBEL, Aidan",Ignite JR Cycling
Étape 7 - La Sarre,7,4,100,91,"HARRIS, Patrick",Ignite JR Cycling
Étape 7 - La Sarre,7,5,100,41,"WATANABE, Ikki",Japon
Étape 7 - La Sarre,7,6,100,65,"TRUFFER, Carl",Équipe Subway
Étape 7 - La Sarre,7,7,100,63,"LANOIX, Solstice",Équipe Subway
