Position,Bib,PointsKOM,ApresEtape
1,94,10,1
2,56,6,1
3,11,2,1
4,81,2,1
1,94,17,2
2,56,6,2
3,53,5,2
4,35,3,2
5,26,3,2
6,11,2,2
7,81,2,2
8,15,2,2
1,94,17,3
2,56,6,3
3,53,5,3
4,35,3,3
5,26,3,3
6,11,2,3
7,81,2,3
8,15,2,3
1,94,17,4
2,56,6,4
3,53,5,4
4,35,3,4
5,26,3,4
6,11,2,4
7,81,2,4
8,15,2,4
1,94,26,5
2,31,10,5
3,81,7,5
4,101,5,5
5,53,5,5
6,83,5,5
7,21,4,5
8,26,3,5
9,35,3,5
10,15,2,5
11,11,2,5
12,95,2,5
1,94,26,6
2,31,10,6
3,81,7,6
4,54,5,6
5,101,5,6
6,53,5,6
7,62,5,6
8,83,5,6
9,92,4,6
10,21,4,6
11,26,3,6
12,35,3,6
13,55,3,6
14,115,3,6
15,15,2,6
16,11,2,6
17,95,2,6
1,94,26,7
2,81,13,7
3,31,10,7
4,15,7,7
5,22,5,7
6,54,5,7
7,101,5,7
8,53,5,7
9,62,5,7
10,83,5,7
11,92,4,7
12,21,4,7
13,26,3,7
14,35,3,7
15,55,3,7
16,115,3,7
17,11,2,7
18,95,2,7
19,13,2,7
20,36,2,7
