Position,Bib,Points,ApresEtape
1,23,30,1
2,12,24,1
3,42,20,1
4,21,16,1
5,124,16,1
6,51,12,1
7,26,10,1
8,31,10,1
9,65,8,1
10,15,4,1
11,103,4,1
12,63,2,1
1,12,44,2
2,26,42,2
3,21,38,2
4,31,34,2
5,23,30,2
6,42,20,2
7,22,16,2
8,124,16,2
9,65,14,2
10,51,12,2
11,32,12,2
12,34,10,2
13,81,8,2
14,45,4,2
15,15,4,2
16,103,4,2
17,83,2,2
18,63,2,2
1,26,48,3
2,12,46,3
3,23,42,3
4,21,41,3
5,31,34,3
6,22,31,3
7,124,26,3
8,65,22,3
9,42,20,3
10,51,12,3
11,32,12,3
12,34,10,3
13,81,9,3
14,102,5,3
15,91,4,3
16,45,4,3
17,103,4,3
18,15,4,3
19,83,2,3
20,63,2,3
1,26,68,4
2,22,61,4
3,31,50,4
4,12,46,4
5,21,43,4
6,23,42,4
7,65,34,4
8,45,28,4
9,42,28,4
10,124,26,4
11,32,22,4
12,34,16,4
13,51,12,4
14,81,9,4
15,63,6,4
16,102,5,4
17,91,4,4
18,103,4,4
19,15,4,4
20,83,2,4
1,26,92,5
2,22,73,5
3,31,66,5
4,42,48,5
5,34,46,5
6,12,46,5
7,21,43,5
8,23,42,5
9,65,40,5
10,124,40,5
11,45,28,5
12,51,22,5
13,32,22,5
14,63,12,5
15,81,9,5
16,35,8,5
17,103,8,5
18,102,5,5
19,91,4,5
20,15,4,5
21,83,2,5
22,62,2,5
23,116,2,5
1,22,99,6
2,26,96,6
3,31,96,6
4,12,64,6
5,23,54,6
6,45,52,6
7,42,52,6
8,34,46,6
9,21,43,6
10,65,40,6
11,124,40,6
12,32,36,6
13,51,22,6
14,63,12,6
15,91,10,6
16,35,9,6
17,81,9,6
18,112,8,6
19,103,8,6
20,82,6,6
21,102,5,6
22,15,4,6
23,83,2,6
24,62,2,6
25,43,2,6
26,116,2,6
